Date,IBOV,Dolar,IBOV_USD
2014-03-11,45698.0,2.3431999683380127,19502.390157683694
2014-03-12,45862.0,2.3594000339508057,19437.99243030622
2014-03-13,45444.0,2.352299928665161,19318.96500366248
2014-03-14,44966.0,2.3610999584198,19044.513486033917
2014-03-17,45118.0,2.3405001163482666,19277.076589252534
2014-03-18,46150.0,2.346100091934204,19670.94249672544
2014-03-19,46567.0,2.329400062561035,19990.984266052772
2014-03-20,47278.0,2.344599962234497,20164.63395100552
2014-03-21,47381.0,2.3232998847961426,20393.837364717743
2014-03-24,47993.0,2.3197999000549316,20688.42230696861
2014-03-25,48180.0,2.3185999393463135,20779.78144585972
2014-03-26,47966.0,2.3090999126434326,20772.59616933987
2014-03-27,49647.0,2.2929000854492188,21652.491669855426
2014-03-28,49768.0,2.256200075149536,22058.327427677923
2014-03-31,50415.0,2.2560999393463135,22346.084550938525
2014-04-01,50270.0,2.2692999839782715,22152.20568233227
2014-04-02,51701.0,2.2583000659942627,22893.768980712302
2014-04-03,51408.0,2.265000104904175,22696.687690517752
2014-04-04,51082.0,2.2764999866485596,22438.83167124565
2014-04-07,52155.0,2.230799913406372,23379.50601780359
2014-04-08,51629.0,2.2142999172210693,23316.173025375003
2014-04-09,51185.0,2.198899984359741,23277.548030409238
2014-04-10,51127.0,2.181299924850464,23438.77584991204
2014-04-11,51867.0,2.203900098800659,23534.188336497427
2014-04-14,51596.0,2.213900089263916,23305.4780792546
2014-04-15,50454.0,2.2123000621795654,22806.128726630577
2014-04-16,51201.0,2.233599901199341,22923.084824863847
2014-04-17,52112.0,2.2381999492645264,23282.995791829962
2014-04-22,51977.0,2.2281999588012695,23326.901068592906
2014-04-23,51570.0,2.236999988555908,23053.196362906972
2014-04-24,51817.0,2.217900037765503,23363.090814590887
2014-04-25,51399.0,2.2090001106262207,23267.99340242183
2014-04-28,51384.0,2.238800048828125,22951.580703643624
2014-04-29,51839.0,2.2202999591827393,23347.746229334345
2014-04-30,51626.0,2.2332000732421875,23117.49879402822
2014-05-02,52980.0,2.2307000160217285,23750.392082968425
2014-05-05,53446.0,2.2149999141693115,24129.12057382349
2014-05-06,53780.0,2.242300033569336,23984.301473871885
2014-05-07,54053.0,2.2269999980926514,24271.66593906355
2014-05-08,53422.0,2.2139999866485596,24129.178103956317
2014-05-09,53100.0,2.2130000591278076,23994.57685551436
2014-05-12,54053.0,2.2074999809265137,24486.0704267428
2014-05-13,53907.0,2.20989990234375,24393.412544535586
2014-05-14,54413.0,2.2116000652313232,24603.4537868892
2014-05-15,53856.0,2.199700117111206,24483.337333603144
2014-05-16,53976.0,2.21560001373291,24361.79800751111
2014-05-19,53353.0,2.2102999687194824,24138.352601484035
2014-05-20,52366.0,2.202899932861328,23771.392980153323
2014-05-21,52203.0,2.2128000259399414,23591.37716379296
2014-05-22,52806.0,2.2051000595092773,23947.2126320433
2014-05-23,52626.0,2.2107999324798584,23804.053558554853
2014-05-26,52932.0,2.2190001010894775,23853.987196310452
2014-05-27,52172.0,2.221100091934204,23489.26110509814
2014-05-28,52640.0,2.232800006866455,23575.77921807505
2014-05-29,52239.0,2.22760009765625,23450.79803819492
2014-05-30,51239.0,2.223599910736084,23043.264101876233
2014-06-02,51606.0,2.236799955368042,23071.352391684384
2014-06-03,52032.0,2.2737998962402344,22883.28013649564
2014-06-04,51833.0,2.276599884033203,22767.72495840294
2014-06-05,51559.0,2.275399923324585,22659.313411889012
2014-06-06,53129.0,2.2562999725341797,23546.957694781948
2014-06-09,54273.0,2.242799997329712,24198.769424209775
2014-06-10,54604.0,2.2262001037597656,24527.89392462109
2014-06-11,55102.0,2.219099998474121,24830.78727316875
2014-06-13,54807.0,2.2269999980926514,24610.23800940292
2014-06-16,54630.0,2.219599962234497,24612.543219276027
2014-06-17,54300.0,2.22979998588562,24351.95997116908
2014-06-18,55203.0,2.2588000297546387,24439.082376847855
2014-06-20,54638.0,2.2195000648498535,24617.25541949745
2014-06-23,54210.0,2.226799964904785,24344.351021362596
2014-06-24,54281.0,2.2130000591278076,24528.241549796137
2014-06-25,53426.0,2.22160005569458,24048.432958513065
2014-06-26,53506.0,2.2047998905181885,24267.962017824946
2014-06-27,53157.0,2.1939001083374023,24229.453199801257
2014-06-30,53168.0,2.191800117492676,24257.686444885258
2014-07-01,53171.0,2.211699962615967,24040.783514374212
2014-07-02,53029.0,2.1981000900268555,24124.925084440587
2014-07-03,53875.0,2.2223000526428223,24242.900924171026
2014-07-04,54055.0,2.2067999839782715,24494.743697864844
2014-07-07,53802.0,2.2098000049591064,24346.999673844075
2014-07-08,53635.0,2.2225000858306885,24132.73247634239
2014-07-10,54593.0,2.20740008354187,24731.81024456751
2014-07-11,54786.0,2.218600034713745,24693.950753980207
2014-07-14,55744.0,2.2174999713897705,25138.21903910269
2014-07-15,55974.0,2.2072999477386475,25358.583484471466
2014-07-16,55717.0,2.2158000469207764,25145.319442261076
2014-07-17,55638.0,2.2207000255584717,25054.261881231756
2014-07-18,57013.0,2.2553999423980713,25278.44349387563
2014-07-21,57634.0,2.2223000526428223,25934.391681924324
2014-07-22,57983.0,2.2181999683380127,26139.663162759753
2014-07-23,57420.0,2.2083001136779785,26001.90057698524
2014-07-24,57978.0,2.21589994430542,26164.538768546867
2014-07-25,57821.0,2.2153000831604004,26100.752868438107
2014-07-28,57696.0,2.222100019454956,25964.627827217184
2014-07-29,57119.0,2.2193000316619873,25737.394306809783
2014-07-30,56878.0,2.2269999980926514,25540.18861639607
2014-07-31,55829.0,2.2437000274658203,24882.559752453573
2014-08-01,55903.0,2.2602999210357666,24732.558489133087
2014-08-04,56616.0,2.2523000240325928,25136.970827995123
2014-08-05,56202.0,2.253999948501587,24934.339522661452
2014-08-06,56487.0,2.2762999534606934,24815.27090229122
2014-08-07,56188.0,2.270699977874756,24744.792595888746
2014-08-08,55573.0,2.294100046157837,24224.314058610376
2014-08-11,56613.0,2.2790000438690186,24841.157924634834
2014-08-12,56442.0,2.27239990234375,24838.057747575946
2014-08-13,55581.0,2.274899959564209,24432.283171980613
2014-08-14,55780.0,2.2785000801086426,24481.017353021256
2014-08-15,56964.0,2.2639000415802,25161.888313867064
